place,id
Jilin ,12796
Harbin ,49708
Mahbubnagar ,19099
Mpumalanga ,3703
Qingdao ,54604
Rif Dimashq ,3121
Kurnool ,19080
Anantapur ,20172
Yiyang ,8837
Chennai ,19226
Pusan ,54891
Agra ,18947
Chifeng ,13000
Papua ,2
Kogi ,402
DURBAN ,63413
Lianyungang ,12763
Zamfara ,648
Luzhou ,12648
Donets'k ,2789
Yibin ,12830
Lakhimpur Kheri ,18993
Kebbi ,644
Guigang ,8873
Bali ,898
Azamgarh ,18954
Kalimantan Timur ,784
Maricopa ,43208
New Taipei ,35000
New Taipei ,1100
Queensland ,3287
Phoenix ,63110
DarÂ esÂ Salaam ,63463
Kabul ,3076
Zhaoqing ,8826
Saran ,19374
Detroit ,56726
New Zealand ,81
Luanda ,63942
Haora ,19394
Enugu ,400
Zhengzhou ,54671
Croatia ,2324
Rostov ,2782
Gorakhpur ,18979
Grand Casablanca ,3013
Sverdlovsk ,2701
Handan ,54297
Malappuram ,19619
Plateau ,406
Asyut ,3188
Edo ,199
Roma ,22875
City of Cape Town ,43463
Zinder ,474
Vaishali ,19380
Viluppuram ,19971
Fuzhou ,8840
Oaxaca ,1364
Jodhpur ,20297
Barabanki ,18960
Adamawa ,636
ExtrÃªme-Nord ,461
Damascus ,62044
Oregon ,3271
Alwar ,19903
Bashkortostan ,2254
Aligarh ,18948
P'yÅngan-namdo ,2304
Apulia ,2947
Sidama ,13675
Liberia ,244
Cordillera ,11472
HaÂ Noi ,59221
Zulia ,5167
Tripura ,941
Izmir ,2858
Yichang ,12645
Singapore ,1047
Darbhanga ,19352
Kalimantan Selatan ,783
Nairobi ,429
Kwilu ,544
Zhuzhou ,8839
West Godavari ,19236
Rheinland-Pfalz ,2561
Tangerang ,19041
Guayas ,1468
Karimnagar ,19098
Alberta ,3246
Maldah ,19398
Casablanca ,22926
Berlin ,44471
Aurangabad ,19084
Bulandshahr ,18965
Chittagong ,59105
ParaÃ­ba ,1700
Amazonas ,1322
Oklahoma ,3259
Sachsen ,2126
Chuzhou ,12683
Luliang ,13031
Vellore ,19970
Liuzhou ,8830
Santo Domingo ,60227
Qingyuan ,8823
Kolhapur ,19942
Singapore ,64752
East Azarbaijan ,2721
Eritrea ,455
Lanzhou ,12615
Sydney ,67973
Baghdad ,1802
Adhamiya ,20576
Magway ,1106
Al Minufiyah ,2810
Seattle ,52380
Tahoua ,472
Kathmandu ,60066
Bankura ,19221
Varanasi ,19019
Ghazipur ,18977
Chaohu ,12681
Tatarstan ,2266
Sylhet ,3819
Dalian ,54852
Baoji ,12766
Maradi ,634
Bijnor ,18963
Kushinagar ,18992
AthÃ­nai ,55507
Bosnia and Herzegovina ,2213
Kano ,63828
Loudi ,8835
Faisalabad ,59638
North West ,3706
